Ux_top [mm],Uy_top left   [mm],Uy_top right [mm],Uy_top_mid [mm],Rot      [rad],Fx_top [kN],Fy_top [kN],M_top [kNm],Unnamed: 8,h [mm],l [mm],Estimated Time (s)
-0.030522,-0.1192573417289768,-0.05207914386363275,-0.08566824279630478,2.6871279146137616e-05,3.3501,74.95,-6.921600000000001,,,,1054.0540540540542
-0.031807,-0.12035230527184479,-0.05233715449426855,-0.08634472988305666,2.72060603110305e-05,3.388,75.41399999999999,-7.368,,,,1062.1621621621623
-0.032573,-0.12165725196894579,-0.052544160015169754,-0.08710070599205777,2.7645236781510418e-05,3.4569,75.964,-7.900800000000004,,,,1070.2702702702704
-0.033379,-0.1227072112827082,-0.0526516683849074,-0.0876794398338078,2.802221715912032e-05,3.4549,76.424,-8.049600000000014,,,,1078.3783783783786
-0.033861,-0.1232771897217842,-0.052960168350552145,-0.08811867903616817,2.8126808548492822e-05,3.4519,76.964,-7.775999999999987,,,,1086.4864864864867
-0.033666,-0.1237571633723912,-0.05338715663487995,-0.08857216000363557,2.8148002695004504e-05,3.393,77.41499999999999,-7.39439999999999,,,,1094.5945945945946
-0.035673,-0.1242171683909058,-0.054109168944987754,-0.08916316866794677,2.804319977836722e-05,3.394,77.94800000000001,-7.099200000000013,,,,1102.7027027027027
-0.035433,-0.1247421388364928,-0.05447815751810535,-0.08961014817729906,2.8105592527354977e-05,3.381,78.38,-7.1279999999999974,,,,1110.8108108108108
-0.035911,-0.1250021326699792,-0.0548386564568,-0.0899203945633896,2.806539048527168e-05,3.412,78.902,-7.300800000000003,,,,1118.918918918919
-0.035627,-0.1254171078213458,-0.05514964555212581,-0.0902833766867358,2.8106984907687994e-05,3.42,79.368,-7.545599999999996,,,,1127.027027027027
-0.035868,-0.1258320904132398,-0.055356644423195,-0.09059436741821741,2.819017839601792e-05,3.4449,79.882,-7.7040000000000015,,,,1135.1351351351352
